[main] Node 4  gradient=2  starting
[I][transport] Node 4: send->broker:7000  recv<-port:7104
[I][sensors_sim] Sim sensors ready (node 4)
[I][gradient_mesh] Node 4 (g=2) sim init OK
[I][gradient_mesh] Provisioned: 0x0005  gradient=2
[I][gradient_mesh] Node 4 → 0x0002  T=25.3 H=72.2 S=56.8
[I][gradient_mesh] Node 4 → 0x0002  T=24.8 H=71.8 S=55.9
[I][gradient_mesh] Node 4 → 0x0002  T=24.7 H=72.5 S=56.2
[I][gradient_mesh] Node 4 → 0x0002  T=24.7 H=72.1 S=55.2
[I][gradient_mesh] Node 4 → 0x0002  T=24.7 H=70.8 S=55.6
[I][gradient_mesh] Node 4 → 0x0002  T=24.7 H=72.4 S=54.6
[I][gradient_mesh] Node 4 → 0x0002  T=24.7 H=71.1 S=54.9
[I][gradient_mesh] Node 4 → 0x0002  T=25.0 H=71.7 S=56.0
[I][gradient_mesh] Node 4 → 0x0002  T=25.0 H=70.4 S=56.3
[I][gradient_mesh] Node 4 → 0x0002  T=25.0 H=72.0 S=55.4
[I][gradient_mesh] Node 4 → 0x0002  T=25.0 H=70.7 S=55.7
[I][gradient_mesh] Node 4 → 0x0002  T=24.4 H=70.3 S=54.8
[I][gradient_mesh] Node 4 → 0x0002  T=24.4 H=71.1 S=55.1
[I][gradient_mesh] Node 4 → 0x0002  T=24.4 H=70.7 S=54.1
[I][gradient_mesh] Node 4 → 0x0002  T=24.4 H=71.4 S=54.4
[I][gradient_mesh] Node 4 → 0x0002  T=24.7 H=70.9 S=54.5
[I][gradient_mesh] Node 4 → 0x0002  T=24.8 H=70.5 S=53.5
[I][gradient_mesh] Node 4 → 0x0002  T=24.7 H=71.2 S=53.8
[I][gradient_mesh] Node 4 → 0x0002  T=24.8 H=70.8 S=56.9
[I][gradient_mesh] Node 4 → 0x0002  T=24.7 H=71.6 S=53.2
[I][gradient_mesh] Node 4 → 0x0002  T=24.2 H=71.2 S=56.3
[I][gradient_mesh] Node 4 → 0x0002  T=24.7 H=69.9 S=56.6
[I][gradient_mesh] Node 4 → 0x0002  T=24.2 H=71.5 S=55.6
